phate1,phate2,CCAT,velocity_length,A,K,P,WENR,mac,fib,curatedCLUST,OWNsig_stemO_UCell,OWNsig_stemS_UCell,condition,inverse_vvl,dist,deg,dist_scaled,inv_deg_scaled,potency_med,dynamic_med,VR
0.028753244,-0.002308046,0.2374997229001511,186.2420966,0,0,0,0,0,0,Late Enterocyte,0.0,0.083962963,WT,0.14766044436441203,0.011351142417613345,5,0.02805139552848185,0.9999999999999999,0.22036948484902785,0.1899124122989119,0.19886526718344155
-0.02218757,0.001656156,0.6598354754489655,217.3372006,0,0,0,0,0,0,proCSC,0.428518519,0.22887037,WT,0.09423522594979203,0.008213850279264336,5,0.0790340501520545,1.0,0.680724194680392,0.06900886625798297,0.6131971802320298
0.003011059,0.019089096,0.3139625865722898,268.6860094,0,0,0,0,0,0,ER Stress,0.0,0.197481481,WT,0.03308226853716992,0.009815496613985696,9,0.14567950233309906,0.11111111111111116,0.3462930749103823,0.2806624696887638,0.31575244431012783
0.007512357,-0.009523375,0.2776142668156454,223.291757,0,0,0,0,0,0,Late Enterocyte,0.0,0.057351852,WT,0.08570208603256183,0.0245956768814274,9,0.3562774242155147,0.23809523809523803,0.22036948484902785,0.1899124122989119,0.20509868687216617
0.011003642,-0.012242011,0.2623806123433339,184.0984563,0,0,0,0,0,0,Early Enterocyte,0.0,0.117037037,WT,0.15200845029440083,0.00905948246089221,6,0.00844430160401749,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.2895894026739652
0.015690112,-0.011194104,0.2583870708081466,158.2105092,0,0,0,0,0,0,Early Enterocyte,0.0,0.13987037,WT,0.21382124091255542,0.009649036083327317,6,0.02980633726579529,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.2897884041625012
0.039864843,0.015072525,0.27072595552533407,264.6944033,0,0,0,0,0,0,Late Enterocyte,0.0,0.048685185,WT,0.03698549796470493,0.026134788857992596,7,0.39441969438385155,0.5102040816326529,0.22036948484902785,0.1899124122989119,0.20582305592598876
0.042419628,0.027225976,0.1765732881857649,143.0243372,0,0,0,0,0,0,Late Enterocyte,0.0,0.132907407,WT,0.2604946212314637,0.03863307070384901,6,0.7041520920671864,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.21170525860710557
-0.000301,-0.010355097,0.2788092222363231,234.8723424,0,0,0,0,0,0,TA 1,0.0,0.187407407,WT,0.07034558911104774,0.006773740089181158,8,0.11108289313725989,0.3125,0.418506847419291,0.06268998905912201,0.37735254121290496
0.031528033,-0.004033384,0.32628078653931125,268.4724667,0,0,0,0,0,0,Early Enterocyte,0.0,0.035722222,WT,0.033288144734007735,0.024150358173015325,6,0.5552509242116417,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.29468326795736266
-0.013991079,-0.004848987,0.5460909087099934,274.3531044,0,0,0,0,0,0,CSC,0.022111111,0.166462963,WT,0.02773574141067245,0.010555348804678063,7,0.34303344550621495,0.47619047619047605,0.5283128165839661,0.0431088893442971,0.47696031400994154
-0.00400982,-0.005687272,0.31909192412799026,212.7953114,0,0,0,0,0,0,TA 1,0.0,0.158833333,WT,0.10106500454687575,0.005202722137590564,9,0.016225200475199153,0.18518518518518512,0.418506847419291,0.06268998905912201,0.37675787844138914
-0.00520302,-0.000756,0.4396361451275258,218.5691778,0,0,0,0,0,0,TA 1,0.0,0.229814815,WT,0.09243160240264389,0.00842086567286707,8,0.21053594663986708,0.3125,0.418506847419291,0.06268998905912201,0.3779760122965024
0.015016425,-0.008416375,0.2195047811169044,192.8619207,0,0,0,0,0,0,Late Enterocyte,0.0,0.139518519,WT,0.1348433871317928,0.01712686914516534,5,0.17118544465232116,0.9999999999999999,0.22036948484902785,0.1899124122989119,0.20158356043856349
-0.002735646,-0.006874317,0.38361409422287795,250.2884835,0,0,0,0,0,0,TA 1,0.0,0.184314815,WT,0.052107927885066824,0.0051621471176768454,6,0.013775290361291326,0.6944444444444444,0.418506847419291,0.06268998905912201,0.37674251995756547
0.031067207,-0.003299351,0.28905794741884594,231.3488877,0,0,0,0,0,0,Early Enterocyte,0.0,0.041222222,WT,0.07485516407727558,0.0247032680308977,7,0.5752852004035957,0.4285714285714284,0.3216785982449472,0.0931566128278711,0.2948699004884127
0.031630357,-0.000604,0.08876478383651187,136.897304,0,0,0,0,0,0,Late Enterocyte,0.0,0.045148148,WT,0.2822572627309232,0.0121023492107653,7,0.04666780089272016,0.5102040816326529,0.22036948484902785,0.1899124122989119,0.19921881582854725
0.030284692,-0.002083075,0.1909579397585347,150.5476112,0,0,0,0,0,0,Late Enterocyte,0.004555556,0.065074074,WT,0.23619557204402977,0.01142121914648521,5,0.029788036894309533,0.9999999999999999,0.22036948484902785,0.1899124122989119,0.1988982481585498
-0.003010439,-0.003676728,0.38846939390536483,222.7004079,0,0,0,0,0,0,TA 1,0.0,0.129722222,WT,0.0865291068663859,0.006199127153496254,6,0.07638789987021455,0.6944444444444444,0.418506847419291,0.06268998905912201,0.3771350383380732
0.016718939,-0.00921139,0.37350271327457685,149.8905567,0,0,0,0,0,0,Early Enterocyte,0.0,0.127111111,WT,0.2382205461129622,0.010686343669715919,6,0.06739240375647337,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.29013854322688065
0.026319987,-0.003436842,0.24481399500292733,118.7543868,0,0,0,0,0,0,Late Enterocyte,0.0,0.075240741,WT,0.35986924489560135,0.011427111823692073,5,0.029934069209996306,0.9999999999999999,0.22036948484902785,0.1899124122989119,0.19890102149348438
0.042247851,0.030310926,0.37057340526903115,235.2665751,0,0,0,0,0,0,Late Enterocyte,0.044962963,0.0,WT,0.06984942339910602,0.041721638865480686,5,0.7806929825598858,0.9999999999999999,0.22036948484902785,0.1899124122989119,0.2131588651224031
